SR,InvID,ResID,PODetID,InvMonth,InvMonthHrs,InvClaimHrs,InvCertAmt,Remarks,Rate,TDeductAmt
,187109,4906,26512,1/11/2017,213,171,0,6 Days E/L 28/10/2017 to 02/11/2017.?,9100,
,187110,4751,26367,1/11/2017,213,82,0,19 Days Leave (3 days E/L 23/10/2017 to 25/10/2017 and 16 Days A/L 04/11/2017 to 19/11/2017,7490,160
,187111,2370,26387,1/11/2017,213,213,0,,8000,
,187112,4734,26341,1/11/2017,213,213,0,,9900,
,187113,4758,26343,1/11/2017,213,213,0,,9100,
,187114,4759,26372,1/11/2017,213,213,0,,9100,
,187115,4761,26374,1/11/2017,213,103,0,16 Days A/L 04.11.2017 to 19.11.2017,9900,
,187116,4903,26380,1/11/2017,213,213,0,,9100,
,187117,4904,26516,1/11/2017,213,213,0,,9900,
,187118,4905,26511,1/11/2017,213,213,0,,9783,
,187119,4907,26513,1/11/2017,213,213,0,,9100,
,187120,4908,26514,1/11/2017,213,213,0,,9100,
,187121,4910,26510,1/11/2017,213,213,0,,9100,
,187122,756,26449,1/11/2017,213,213,0,,7000,160
,187123,4757,26371,1/11/2017,213,213,0,,8000,
,187124,4880,26490,1/11/2017,213,213,0,,8000,
,187125,4889,26498,1/11/2017,213,213,0,,8000,
,187126,4897,26506,1/11/2017,213,213,0,,8000,
,187127,4901,26509,1/11/2017,213,199,0,02 Days A/L 18.11.2017 & 19.11.2017,8000,
,187128,2368,26344,1/11/2017,213,199,0,02 Days A/L 18.11.2017 & 19.11.2017,9100,
,187129,3072,26345,1/11/2017,213,199,0,02 Days A/L 18.11.2017 to 19.11.2017,9100,
,187130,2892,26543,1/11/2017,213,14,0,29 Days A/L 20.10.2017 to 17.11.2017,3100,
,187131,2906,26539,1/11/2017,213,213,0,,3100,
,187132,5016,26517,1/11/2017,213,151,0,09 Days A/L 11.11.2017 to 19.11.2017,3100,
,187133,5018,26519,1/11/2017,213,213,0,,3100,
,187134,5019,26520,1/11/2017,213,213,0,,3100,
,187135,5021,26522,1/11/2017,213,213,0,,3100,
,187136,5025,26526,1/11/2017,213,213,0,,3100,
,187137,5026,26527,1/11/2017,213,213,0,,3100,
,187138,5027,26528,1/11/2017,213,213,0,,3100,
,187139,5028,26529,1/11/2017,213,213,0,,3100,
,187140,5029,26530,1/11/2017,213,213,0,,3100,
,187141,5031,26532,1/11/2017,213,213,0,,3100,
,187142,5033,26533,1/11/2017,213,213,0,,3100,
,187143,5036,26535,1/11/2017,213,213,0,,3100,
,187144,5037,26536,1/11/2017,213,213,0,,3100,
,187145,5038,26537,1/11/2017,213,213,0,,3100,
,187146,5039,26538,1/11/2017,213,213,0,,3100,
,187147,5047,26544,1/11/2017,213,213,0,,3100,
,187148,5048,26545,1/11/2017,213,213,0,,3100,
,187149,5049,26546,1/11/2017,213,213,0,,3100,
,187150,5051,26548,1/11/2017,213,48,0,24 Days A 20.10.2017 to 12.11.2017,3100,
,187151,5052,26549,1/11/2017,213,213,0,,3100,
,187152,5053,26550,1/11/2017,213,213,0,,3100,
,187153,5055,26552,1/11/2017,213,213,0,,3100,
,187154,5061,26557,1/11/2017,213,213,0,,3100,
,187155,5062,26558,1/11/2017,213,213,0,,3100,
,187156,5063,26559,1/11/2017,213,213,0,,3100,
,187157,5066,26562,1/11/2017,213,213,0,,3600,
,187158,5067,26563,1/11/2017,213,213,0,,3600,
,187159,5069,26564,1/11/2017,213,213,0,,3600,
,187160,7588,26576,1/11/2017,213,213,0,,3100,
,187161,7589,26575,1/11/2017,213,110,0,15 Days A/L 05.11.2017 to 19.11.2017,3100,
,187162,7591,26573,1/11/2017,213,213,0,,3100,
,187163,7593,26571,1/11/2017,213,213,0,,3100,
,187164,7595,26569,1/11/2017,213,213,0,,3100,
,187165,7596,26568,1/11/2017,213,185,0,04 Days E/L 20.10.2017 to 23.10.2017,3100,
,187166,4736,26346,1/11/2017,213,213,0,,6050,160
,187167,4768,26400,1/11/2017,213,213,0,,6050,160
,187168,4771,26402,1/11/2017,213,89,0,18 Days A/L 20.10.2017 to 06.11.2017,6050,160
,187169,4772,26403,1/11/2017,213,213,0,,6050,160
,187170,4789,26415,1/11/2017,213,213,0,,6050,160
,187171,4797,26422,1/11/2017,213,151,0,09 Days A/L 11.11.2017 to 19.11.2017,6050,160
,187172,4802,26425,1/11/2017,213,213,0,,6050,160
,187173,4803,26426,1/11/2017,213,213,0,,6050,160
,187174,4806,26428,1/11/2017,213,213,0,,6050,160
,187175,4875,26392,1/11/2017,213,213,0,,6050,160
,187176,4876,26486,1/11/2017,213,213,0,,8000,
,187177,746,26382,1/11/2017,213,89,0,18 Days A/L 20.10.2017 to 06.11.2017 ,9100,
,187178,749,26360,1/11/2017,213,213,0,,9100,
,187179,750,26348,1/11/2017,213,213,0,,10900,160
,187180,751,26352,1/11/2017,213,213,0,,10900,160
,187181,752,26355,1/11/2017,213,199,0,02 Days E/L 20.10.2017 & 21.10.2017 ,10900,
,187182,753,26359,1/11/2017,213,213,0,,10900,
,187183,2531,26386,1/11/2017,213,178,0,05 Days 04 DaysA/L 20.10.2017 to 23.10.2017 & 01 DayS/L 19.11.2017,9100,
,187184,4485,26340,1/11/2017,213,213,0,,9100,
,187185,734,26358,1/11/2017,213,213,0,,7000,160
,187186,739,26349,1/11/2017,213,213,0,,8000,160
,187187,740,26350,1/11/2017,213,171,0,06 Days E/L 21.10.2017 to 26.10.2017,8000,160
,187188,741,26351,1/11/2017,213,213,0,,8000,160
,187189,742,26353,1/11/2017,213,199,0,02 Days A/L 20.10.2017 & 21.10.2017 ,8000,160
,187190,743,26354,1/11/2017,213,48,0,24 Days A/L 20.10.2017 to 12.11.2017,8000,
,187191,745,26356,1/11/2017,213,213,0,,8000,160
,187192,2994,26383,1/11/2017,213,206,0,01 Day S/L 15.11.2017 ,7000,160
,187193,2995,26385,1/11/2017,213,213,0,,8000,160
,187194,4364,26384,1/11/2017,213,213,0,,7000,160
,187195,4738,26390,1/11/2017,213,213,0,,8000,160
,187196,4739,26362,1/11/2017,213,213,0,,7000,160
,187197,4784,26411,1/11/2017,213,213,0,,6050,160
,187198,4795,26420,1/11/2017,213,213,0,,6050,160
,187199,4823,26442,1/11/2017,213,213,0,,7000,160
,187200,4836,26453,1/11/2017,213,171,0,06 Days E/L 30.10.2017 to  04.11.2017 ,7000,160
,187201,4839,26456,1/11/2017,213,213,0,,7000,160
,187202,4854,26469,1/11/2017,213,213,0,,7000,160
,187203,4867,26480,1/11/2017,213,213,0,,7000,160
,187204,4741,26391,1/11/2017,213,103,0,16 Days A/L 04.11.2017  to 19.11.2017,6050,
,187205,4742,26363,1/11/2017,213,213,0,,6050,
,187206,4773,26404,1/11/2017,213,213,0,,6050,
,187207,4782,26410,1/11/2017,213,213,0,,6050,160
,187208,4733,26389,1/11/2017,213,213,0,,9100,
,187209,4735,26342,1/11/2017,213,14,0,29 Days  A/L 22.10.2017 to 19.11.2017,12900,
,187210,5017,26518,1/11/2017,213,213,0,,3100,
,187211,5022,26523,1/11/2017,213,213,0,,3100,
,187212,5023,26524,1/11/2017,213,213,0,,3100,
,187213,5024,26525,1/11/2017,213,213,0,,3100,
,187214,5030,26531,1/11/2017,213,213,0,,3100,
,187215,5035,26534,1/11/2017,213,213,0,,3100,
,187216,5041,26540,1/11/2017,213,213,0,,3100,
,187217,5042,26541,1/11/2017,213,213,0,,3100,
,187218,5043,26542,1/11/2017,213,213,0,,3100,
,187219,5050,26547,1/11/2017,213,213,0,,3100,
,187220,5054,26551,1/11/2017,213,213,0,,3100,
,187221,5056,26553,1/11/2017,213,213,0,,3100,
,187222,5059,26555,1/11/2017,213,213,0,,3100,
,187223,5060,26556,1/11/2017,213,213,0,,3100,
,187224,5064,26560,1/11/2017,213,213,0,,3100,
,187225,5065,26561,1/11/2017,213,213,0,,3600,
,187226,5070,26565,1/11/2017,213,213,0,,3600,
,187227,5071,26566,1/11/2017,213,213,0,,3600,
,187228,7590,26574,1/11/2017,213,213,0,,3100,
,187229,7592,26572,1/11/2017,213,213,0,,3100,
,187230,7597,26567,1/11/2017,213,213,0,,3100,
,187231,755,26381,1/11/2017,213,213,0,,7000,160
,187232,2539,26407,1/11/2017,213,213,0,,6050,160
,187233,4737,26347,1/11/2017,213,192,0,03 Days S/L 21.10.2017  to 23.10.2017,7000,160
,187234,4740,26361,1/11/2017,213,213,0,,7000,160
,187235,4744,26393,1/11/2017,213,213,0,,7000,160
,187236,4745,26394,1/11/2017,213,213,0,,7000,160
,187237,4747,26365,1/11/2017,213,199,0,02 Days S/L 31.10.2017 to 01.11.2017 ,7000,160
,187238,4748,26366,1/11/2017,213,213,0,,7000,160
,187239,4753,26368,1/11/2017,213,213,0,,8000,160
,187240,4754,26369,1/11/2017,213,213,0,,8000,160
