SR,InvID,ResID,PODetID,InvMonth,InvMonthHrs,InvClaimHrs,InvCertAmt,Remarks,Rate,TDeductAmt
,202152,8725,24868,1/12/2017,206,158,0,7 days as per LWD 12-12-2017,4000,
,202153,8735,24878,1/12/2017,206,158,0,7 days as per LWD 12-12-2017,4000,
,202154,8740,24883,1/12/2017,206,158,0,7 days as per LWD 12-12-2017,4000,
,202155,8744,24887,1/12/2017,206,158,0,7 days as per LWD 12-12-2017,4000,
,202156,8788,24935,1/12/2017,206,206,0,,4000,
,202157,8794,24941,1/12/2017,206,158,0,7 days as per LWD 12-12-2017,4000,
,202158,1372,26161,1/12/2017,206,124,0,12 days as per LWD 07-12-17,11916,
,202159,8731,24874,1/12/2017,206,158,0,7 days as per LWD 12-12-2017,4000,
,202160,8769,24912,1/12/2017,206,158,0,7 days as per LWD 12-12-2017,4000,
,202161,8814,24963,1/12/2017,206,158,0,7 days as per LWD 12-12-2017,4000,
,202162,8815,24964,1/12/2017,206,158,0,7 days as per LWD 12-12-2017,4000,
,202163,8819,24968,1/12/2017,206,158,0,7 days as per LWD 12-12-2017,4000,
,202164,8820,24969,1/12/2017,206,206,0,,4000,
,202165,8881,25030,1/12/2017,206,158,0,7 days as per LWD 12-12-2017,4000,
,202166,8884,25033,1/12/2017,206,206,0,,4000,
,202167,9965,25045,1/12/2017,206,172,0,As per DOJ 25-11-2017,3223,
,202168,8962,25112,1/12/2017,206,89,0,17 days as per LWD 02-12-17,3223,
,202169,5354,25538,1/12/2017,206,158,0,7 days as per LWD 12-12-2017,4397,
,202170,6119,26091,1/12/2017,206,192,0,"2 day Sick Leave from 12/12/2017 to 13/12/2017 ,",9022,
,202171,6262,26225,1/12/2017,206,206,0,,11932,
,202172,6285,25882,1/12/2017,206,206,0,,9022,
,202173,8188,26180,1/12/2017,206,206,0,,10375,
,202174,9291,25441,1/12/2017,206,76,0,LWD 30/11/2017,4576,
,202175,9963,24402,1/12/2017,206,206,0,,11916,
,202176,453,24406,1/12/2017,206,144,0,"9 day AL from 06/12/2017 to 14/12/2017 ,",12512,
,202177,1367,25856,1/12/2017,206,206,0,,29850,
,202178,1687,26231,1/12/2017,206,206,0,,23690,
,202179,3050,26181,1/12/2017,206,206,0,,23000,
,202180,8203,26278,1/12/2017,206,158,0,"7 day AL from 23/11/2017 to 29/11/2017 ,",22579,
,202181,3483,26155,1/12/2017,206,206,0,,3179,
,202182,5324,26182,1/12/2017,206,117,0,"13 day AL from 20/11/2017 to 02/12/2017 ,",4397,
,202183,5352,25536,1/12/2017,206,206,0,,4397,
,202184,5616,26210,1/12/2017,206,206,0,,3223,
,202185,6179,25719,1/12/2017,206,206,0,,3223,
,202186,6222,26218,1/12/2017,206,185,0,"3 day Un Paid Leave / Emergency Leave from 20/11/2017 to 22/11/2017 ,",3223,
,202187,6223,25777,1/12/2017,206,206,0,,3223,
,202188,6719,25946,1/12/2017,206,206,0,,3223,
,202189,6721,25947,1/12/2017,206,206,0,,3223,
,202190,6727,25970,1/12/2017,206,206,0,,3223,
,202191,6728,25980,1/12/2017,206,206,0,,3223,
,202192,7994,26244,1/12/2017,206,206,0,,3223,
