SR,InvID,ResID,PODetID,InvMonth,InvMonthHrs,InvClaimHrs,InvCertAmt,Remarks,Rate,TDeductAmt
,177230,8630,24768,1/9/2017,213,213,0,,2550,
,177231,8634,24772,1/9/2017,213,213,0,,2550,
,177232,8635,24773,1/9/2017,213,213,0,,2550,
,177233,8636,24774,1/9/2017,213,213,0,,2550,
,177234,8638,24776,1/9/2017,213,213,0,,2550,
,177235,8639,24777,1/9/2017,213,213,0,,2550,
,177236,8641,24779,1/9/2017,213,213,0,,2550,
,177237,8642,24780,1/9/2017,213,213,0,,2550,
,177238,8643,24781,1/9/2017,213,213,0,,2550,
,177239,8644,24782,1/9/2017,213,213,0,,2550,
,177240,8645,24783,1/9/2017,213,213,0,,2550,
,177241,8646,24784,1/9/2017,213,213,0,,2550,
,177242,8647,24785,1/9/2017,213,213,0,,2550,
,177243,8648,24786,1/9/2017,213,213,0,,2550,
,177244,8649,24787,1/9/2017,213,213,0,,2550,
,177245,8650,24788,1/9/2017,213,213,0,,2550,
,177246,8651,24789,1/9/2017,213,213,0,,2550,
,177247,8705,24847,1/9/2017,213,213,0,,3500,
,177248,8716,24858,1/9/2017,213,213,0,,3500,
,177249,8718,24860,1/9/2017,213,213,0,,4000,
,177250,8720,24862,1/9/2017,213,213,0,,4000,
,177251,8721,24864,1/9/2017,213,213,0,,4000,
,177252,8722,24865,1/9/2017,213,213,0,,4000,
,177253,8723,24866,1/9/2017,213,213,0,,4000,
,177254,8724,24867,1/9/2017,213,213,0,,4000,
,177255,8725,24868,1/9/2017,213,213,0,,4000,
,177256,8726,24869,1/9/2017,213,213,0,,4000,
,177257,8735,24878,1/9/2017,213,213,0,,4000,
,177258,8736,24879,1/9/2017,213,213,0,,4000,
,177259,8738,24881,1/9/2017,213,213,0,,4000,
,177260,8739,24882,1/9/2017,213,213,0,,4000,
,177261,8740,24883,1/9/2017,213,213,0,,4000,
,177262,8741,24884,1/9/2017,213,213,0,,4000,
,177263,8742,24885,1/9/2017,213,213,0,,4000,
,177264,8743,24886,1/9/2017,213,213,0,,4000,
,177265,8744,24887,1/9/2017,213,213,0,,4000,
,177266,8777,24920,1/9/2017,213,213,0,,4000,
,177267,8788,24935,1/9/2017,213,213,0,,4000,
,177268,8789,24936,1/9/2017,213,213,0,,4000,
,177269,8790,24937,1/9/2017,213,213,0,,4000,
,177270,8791,24938,1/9/2017,213,213,0,,4000,
,177271,8792,24939,1/9/2017,213,213,0,,4000,
,177272,8793,24940,1/9/2017,213,213,0,,4000,
,177273,8794,24941,1/9/2017,213,213,0,,4000,
,177274,8795,24942,1/9/2017,213,213,0,,4000,
,177275,8797,24944,1/9/2017,213,213,0,,4000,
,177276,8799,24948,1/9/2017,213,213,0,,4000,
,177277,8800,24949,1/9/2017,213,213,0,,4000,
,177278,8801,24950,1/9/2017,213,213,0,,4000,
,177279,8802,24951,1/9/2017,213,213,0,,4000,
,177280,8803,24952,1/9/2017,213,213,0,,4000,
,177281,8804,24953,1/9/2017,213,213,0,,4000,
,177282,8805,24954,1/9/2017,213,213,0,,4000,
,177283,8807,24956,1/9/2017,213,213,0,,4000,
,177284,8808,24957,1/9/2017,213,213,0,,4000,
,177285,8809,24958,1/9/2017,213,213,0,,4000,
,177286,8810,24959,1/9/2017,213,213,0,,4000,
,177287,8836,24985,1/9/2017,213,213,0,,4000,
,177288,8867,25016,1/9/2017,213,213,0,,4000,
,177289,8871,25020,1/9/2017,213,213,0,,4000,
,177290,8886,25035,1/9/2017,213,213,0,,4000,
,177291,9067,25217,1/9/2017,213,213,0,,4576,
,177292,9091,25241,1/9/2017,213,213,0,,4576,
,177293,9133,25283,1/9/2017,213,213,0,,4576,
,177294,9162,25312,1/9/2017,213,213,0,,4576,
,177295,9229,25379,1/9/2017,213,213,0,,4576,
,177296,9256,25406,1/9/2017,213,213,0,,4576,
,177297,5789,25893,1/9/2017,213,213,0,,13704,
,177298,6257,25824,1/9/2017,213,213,0,,11916,
,177299,1249,25835,1/9/2017,213,213,0,,23000,
,177300,282,25836,1/9/2017,213,213,0,,18000,
,177301,668,25833,1/9/2017,213,213,0,,18000,
,177302,1314,25834,1/9/2017,213,130,0,"12 day AL from 20/08/2017 to 31/08/2017 , ",10986,
,177303,1374,25837,1/9/2017,213,213,0,,22579,
,177304,2069,25975,1/9/2017,213,213,0,,22579,
,177305,8909,25059,1/9/2017,213,55,0,As per LWD 27/08/2017,832,
,177306,8982,25132,1/9/2017,213,213,0,,3223,
,177307,9009,25159,1/9/2017,213,213,0,,3223,
,177308,9010,25160,1/9/2017,213,213,0,,3223,
,177309,9058,25208,1/9/2017,213,213,0,,3223,
,177310,9059,25209,1/9/2017,213,213,0,,3223,
,177311,9060,25210,1/9/2017,213,213,0,,3223,
,177312,9062,25212,1/9/2017,213,213,0,,3223,
,177313,9063,25213,1/9/2017,213,213,0,,3223,
,177314,9066,25216,1/9/2017,213,213,0,,3223,
,177315,9069,25219,1/9/2017,213,213,0,,3223,
,177316,9081,25231,1/9/2017,213,213,0,,3223,
,177317,9085,25235,1/9/2017,213,213,0,,3223,
,177318,9090,25240,1/9/2017,213,213,0,,3223,
,177319,9092,25242,1/9/2017,213,213,0,,3223,
,177320,9093,25243,1/9/2017,213,213,0,,3223,
,177321,9094,25244,1/9/2017,213,213,0,,3223,
,177322,9100,25250,1/9/2017,213,213,0,,3223,
,177323,9110,25260,1/9/2017,213,213,0,,3223,
,177324,9113,25263,1/9/2017,213,213,0,,3223,
,177325,9114,25264,1/9/2017,213,213,0,,3223,
,177326,9118,25268,1/9/2017,213,213,0,,3223,
,177327,9120,25270,1/9/2017,213,213,0,,3223,
,177328,9121,25271,1/9/2017,213,213,0,,3223,
,177329,9129,25279,1/9/2017,213,213,0,,3223,
,177330,9135,25285,1/9/2017,213,213,0,,3223,
,177331,9144,25294,1/9/2017,213,213,0,,3223,
,177332,9145,25295,1/9/2017,213,213,0,,3223,
,177333,9147,25297,1/9/2017,213,213,0,,3223,
,177334,9148,25298,1/9/2017,213,213,0,,3223,
,177335,9149,25299,1/9/2017,213,213,0,,3223,
,177336,9150,25300,1/9/2017,213,213,0,,3223,
,177337,9154,25304,1/9/2017,213,213,0,,3223,
,177338,9158,25308,1/9/2017,213,213,0,,3223,
,177339,9160,25310,1/9/2017,213,213,0,,3223,
,177340,9161,25311,1/9/2017,213,213,0,,3223,
,177341,9204,25354,1/9/2017,213,213,0,,3223,
,177342,9206,25356,1/9/2017,213,213,0,,3223,
,177343,9208,25358,1/9/2017,213,213,0,,3223,
,177344,9209,25359,1/9/2017,213,213,0,,3223,
,177345,9210,25360,1/9/2017,213,213,0,,3223,
,177346,9211,25361,1/9/2017,213,55,0,"23 day AL from 20/08/2017 to 11/09/2017 , ",832,
,177347,9212,25362,1/9/2017,213,213,0,,3223,
,177348,9213,25363,1/9/2017,213,213,0,,3223,
,177349,9218,25368,1/9/2017,213,213,0,,3223,
,177350,9219,25369,1/9/2017,213,213,0,,3223,
,177351,9220,25370,1/9/2017,213,213,0,,3223,
,177352,9221,25371,1/9/2017,213,213,0,,3223,
,177353,9223,25373,1/9/2017,213,82,0,As per LWD 31/08/2017,1241,
,177354,9224,25374,1/9/2017,213,213,0,,3223,
,177355,9227,25377,1/9/2017,213,213,0,,3223,
,177356,9228,25378,1/9/2017,213,213,0,,3223,
,177357,9233,25383,1/9/2017,213,213,0,,3223,
,177358,9235,25385,1/9/2017,213,213,0,,3223,
,177359,9236,25386,1/9/2017,213,213,0,,3223,
,177360,9237,25387,1/9/2017,213,213,0,,3223,
,177361,9239,25389,1/9/2017,213,213,0,,3223,
,177362,9241,25391,1/9/2017,213,213,0,,3223,
,177363,9242,25392,1/9/2017,213,213,0,,3223,
,177364,9244,25394,1/9/2017,213,213,0,,3223,
,177365,9248,25398,1/9/2017,213,185,0,"4 day AL from 16/09/2017 to 19/09/2017 , ",2799,
,177366,9249,25399,1/9/2017,213,213,0,,3223,
,177367,9250,25400,1/9/2017,213,213,0,,3223,
,177368,9251,25401,1/9/2017,213,82,0,As per LWD 31/08/2017,1241,
,177369,9252,25402,1/9/2017,213,213,0,,3223,
,177370,9253,25403,1/9/2017,213,213,0,,3223,
,177371,9254,25404,1/9/2017,213,213,0,,3223,
,177372,9263,25413,1/9/2017,213,213,0,,3223,
,177373,9264,25414,1/9/2017,213,213,0,,3223,
,177374,9266,25416,1/9/2017,213,213,0,,3223,
,177375,9268,25418,1/9/2017,213,144,0,"10 day AL from 10/09/2017 to 19/09/2017 , ",2179,
,177376,9269,25419,1/9/2017,213,213,0,,3223,
,177377,9271,25421,1/9/2017,213,213,0,,3223,
,177378,9272,25422,1/9/2017,213,213,0,,3223,
,177379,9273,25423,1/9/2017,213,213,0,,3223,
,177380,9274,25424,1/9/2017,213,213,0,,3223,
,177381,9275,25425,1/9/2017,213,213,0,,3223,
,177382,9276,25426,1/9/2017,213,213,0,,3223,
,177383,9283,25433,1/9/2017,213,171,0,"6 day AL from 09/09/2017 to 14/09/2017 , ",2587,
,177384,9284,25434,1/9/2017,213,213,0,,3223,
,177385,9285,25435,1/9/2017,213,213,0,,3223,
,177386,9304,25454,1/9/2017,213,213,0,,3223,
,177387,9306,25456,1/9/2017,213,213,0,,3223,
,177388,9307,25457,1/9/2017,213,213,0,,3223,
,177389,4695,25954,1/9/2017,213,213,0,,3769,
,177390,4698,25955,1/9/2017,213,213,0,,3769,
,177391,5577,25484,1/9/2017,213,206,0,"1 day Sick Leave from 26/08/2017 to 26/08/2017 , ",3117,
,177392,5578,25485,1/9/2017,213,213,0,,3223,
,177393,5579,25486,1/9/2017,213,213,0,,3223,
,177394,5581,25487,1/9/2017,213,213,0,,3769,
,177395,5614,25736,1/9/2017,213,213,0,,3223,
,177396,5617,25738,1/9/2017,213,213,0,,3223,
,177397,5618,25739,1/9/2017,213,213,0,,3223,
,177398,5620,25741,1/9/2017,213,110,0,"15 day AL from 04/09/2017 to 18/09/2017 , ",1946,
,177399,5621,25742,1/9/2017,213,213,0,,3769,
,177400,5624,25744,1/9/2017,213,130,0,"12 day AL from 20/08/2017 to 31/08/2017 , ",2684,
,177401,5665,25793,1/9/2017,213,213,0,,3223,
,177402,5666,25794,1/9/2017,213,213,0,,3769,
,177403,5667,25795,1/9/2017,213,213,0,,4397,
,177404,5668,25796,1/9/2017,213,213,0,,4397,
,177405,5669,25797,1/9/2017,213,158,0,"8 day AL from 12/09/2017 to 19/09/2017 , ",3262,
,177406,5671,25798,1/9/2017,213,213,0,,4397,
,177407,5771,25872,1/9/2017,213,213,0,,3223,
,177408,5995,26134,1/9/2017,213,213,0,,3834,
,177409,6037,26135,1/9/2017,213,213,0,,3834,
,177410,6140,25466,1/9/2017,213,213,0,,3223,
,177411,6141,25467,1/9/2017,213,213,0,,3223,
,177412,6142,25468,1/9/2017,213,213,0,,3223,
