SR,InvID,ResID,PODetID,InvMonth,InvMonthHrs,InvClaimHrs,InvCertAmt,Remarks,Rate,TDeductAmt
,205760,9965,25045,1/1/2018,213,213,0,,3223,
,205761,6119,26091,1/1/2018,213,55,0,"23 day AL from 28/12/2017 to 19/01/2018 ,",2330,
,205762,6262,26225,1/1/2018,213,213,0,,11932,
,205763,6285,25882,1/1/2018,213,213,0,,9022,
,205764,8188,26180,1/1/2018,213,178,0,"5 day AL from 24/12/2017 to 28/12/2017 ,",8670,
,205765,9963,24402,1/1/2018,213,213,0,,11916,
,205766,453,24406,1/1/2018,213,213,0,,14389,
,205767,1367,25856,1/1/2018,213,213,0,,29850,
,205768,1687,26231,1/1/2018,213,192,0,"1 day AL from 24/12/2017 to 24/12/2017 , 1 day AL from 25/12/2017 to 25/12/2017 , 1 day AL from 16/01/2018 to 16/01/2018 ,",21354,
,205769,3050,26181,1/1/2018,213,213,0,,23000,
,205770,8203,26278,1/1/2018,213,192,0,"3 day AL from 02/01/2018 to 04/01/2018 ,",20353,
,205771,3483,26155,1/1/2018,213,213,0,,3179,
,205772,5324,26182,1/1/2018,213,213,0,,4397,
,205773,5352,25536,1/1/2018,213,213,0,,5719,
,205774,5616,26210,1/1/2018,213,213,0,,3223,
,205775,6179,25719,1/1/2018,213,213,0,,3223,
,205776,6222,26218,1/1/2018,213,213,0,,3223,
,205777,6223,25777,1/1/2018,213,213,0,,3223,
,205778,6719,25946,1/1/2018,213,213,0,,3223,
,205779,6721,25947,1/1/2018,213,213,0,,3223,
,205780,6727,25970,1/1/2018,213,213,0,,3223,
,205781,6728,25980,1/1/2018,213,213,0,,3223,
,205782,7994,26244,1/1/2018,213,213,0,,3223,
,205783,5392,26183,1/1/2018,213,213,0,,5662,160
,205784,5457,26184,1/1/2018,213,144,0,"3 day Sick Leave from 20/12/2017 to 22/12/2017 , 7 day AL from 13/01/2018 to 19/01/2018 ,",4402,
,205785,5492,26185,1/1/2018,213,213,0,,8120,
,205786,5639,26211,1/1/2018,213,213,0,,5662,160
,205787,6306,26234,1/1/2018,213,213,0,,6511,
,205788,6307,26235,1/1/2018,213,199,0,"2 day Un Paid Leave / Emergency Leave from 20/12/2017 to 21/12/2017 ,",6083,160
,205789,7544,26186,1/1/2018,213,213,0,,6511,160
,205790,392,24545,1/1/2018,213,199,0,"2 day Sick Leave from 09/01/2018 to 10/01/2018 ,",14724,
,205791,399,24552,1/1/2018,213,213,0,,14663,
,205792,467,24562,1/1/2018,213,213,0,,14663,
,205793,423,24504,1/1/2018,213,144,0,"10 day AL from 02/01/2018 to 11/01/2018 ,",16016,
,205794,440,24517,1/1/2018,213,213,0,,23690,
