"POLineID","POID","POLineNum","POLineDuration","POLineValue","POLineRValue","POLineRate","POLineStatus","POLineActuals","CPXPercent","OPXPercent","REVPercent"
1,1,"SrNo1",0,0,0,0,"NORMAL PTE",,0,0,0
4,391,"SrNo1",6,8382780,0,8382780,"VALID",,28,21,51
5,5,"SrNo1",0,0,0,0,"FUTURE USE #2",,0,0,0
6,6,"SrNo1",0,0,0,0,"FUTURE USE #3",,0,0,0
7,7,"SrNo1",0,0,0,0,"FUTURE USE #4",,0,0,0
8,8,"SrNo1",0,0,0,0,"FUTURE USE #5",,0,0,0
9,9,"SrNo1",0,0,0,0,"FUTURE USE #6",,0,0,0
10,10,"SrNo1",0,0,0,0,"FUTURE USE #7",,0,0,0
11,22,"SrNo3",7,347368,0,347368,"Valid",,100,0,0
12,22,"SrNo4",7,431452,0,431452,"Valid",,50,50,0
13,22,"SrNo5",7,110320,0,110320,"Valid",,100,0,0
14,22,"SrNo6",7,95928,0,95928,"Valid",,100,0,0
15,22,"SrNo7",7,208950,0,208950,"Valid",,50,50,0
16,23,"SrNo1",6,1647300,0,1647300,"Closed",,28,21,51
17,23,"SrNo2",6,3123648,0,3123648,"Closed",,28,21,51
18,23,"SrNo3",6,2215578,0,2215578,"Closed",,28,21,51
19,24,"SrNo1",7,8457330,0,8457330,"Closed",,0,100,0
20,24,"SrNo3",7,601650,0,601650,"Closed",,100,0,0
21,24,"SrNo4",7,3038210,0,3038210,"Closed",,100,0,0
22,24,"SrNo5",7,666190,0,666190,"Closed",,100,0,0
23,25,"SrNo1",6,2241000,0,2241000,"Valid",,28,21,51
24,25,"SrNo2",6,556140,0,556140,"Closed",,28,21,51
25,25,"SrNo3",6,436080,0,436080,"Closed",,28,21,51
26,25,"SrNo4",6,489600,0,489600,"Closed",,28,21,51
27,25,"SrNo5",6,492480,0,492480,"Closed",,28,21,51
28,26,"SrNo1",6,202020,0,202020,"Valid",,100,0,0
30,26,"SrNo2",6,289230,0,289230,"Valid",,28,21,51
31,26,"SrNo3",6,800640,0,800640,"Valid",,28,21,51
32,26,"SrNo4",6,336810,0,336810,"Valid",,28,21,51
33,26,"SrNo5",6,1226700,0,1226700,"Valid",,28,21,51
34,26,"SrNo6",6,3393540,0,3393540,"Valid",,28,21,51
35,26,"SrNo7",6,1009500,0,1009500,"Valid",,28,21,51
36,26,"SrNo8",6,397440,0,397440,"Valid",,28,21,51
37,26,"SrNo9",6,244500,0,244500,"Valid",,28,21,51
38,26,"SrNo10",6,244500,0,244500,"Valid",,28,21,51
39,26,"SrNo11",6,244500,0,244500,"Valid",,28,21,51
40,27,"SrNo1",6,1093920,0,1093920,"Valid",,0,100,0
41,28,"SrNo1",6,415710,0,415710,"Closed",,100,0,0
42,20,"SrNo1",7,784000,0,784000,"Closed",,0,100,0
43,20,"SrNo2",7,1479450,0,1479450,"Closed",,0,100,0
44,20,"SrNo3",7,238245,0,238245,"Closed",,0,100,0
45,21,"SrNo1",7,530320,0,530320,"Closed",,100,0,0
46,21,"SrNo2",7,4660264,0,4660264,"Closed",,100,0,0
47,21,"SrNo3",7,192500,0,192500,"Closed",,100,0,0
48,21,"SrNo4",7,560000,0,560000,"Closed",,100,0,0
49,21,"SrNo5",7,300979,0,300979,"Closed",,100,0,0
50,22,"SrNo1",7,917861,0,917861,"Valid",,100,0,0
51,22,"SrNo2",7,221928,0,221928,"Valid",,28,21,51
52,30,"SrNo2",6,238650,0,238650,"Closed",,100,0,0
53,30,"SrNo3",6,211566,0,211566,"Closed",,100,0,0
54,31,"SrNo1",6,134784,0,134784,"Valid",,28,21,51
55,32,"SrNo1",6,1358400,0,1358400,"Valid",,100,0,0
56,32,"SrNo2",6,722400,0,722400,"Valid",,100,0,0
57,32,"SrNo3",6,799200,0,799200,"Valid",,100,0,0
58,33,"SrNo1",6,1156200,0,1156200,"Valid",,100,0,0
59,33,"SrNo2",6,438900,0,438900,"Valid",,100,0,0
60,34,"SrNo1",3,435000,0,435000,"Closed",,28,21,51
61,34,"SrNo2",3,5007300,0,5007300,"Closed",,28,21,51
62,35,"SrNo1",3,575397,0,575397,"Closed",,28,21,51
63,35,"SrNo2",3,334212,0,334212,"Closed",,28,21,51
64,36,"SrNo1",12,672000,0,672000,"Valid",,100,0,0
65,37,"SrNo1",6,748800,0,748800,"Closed",,100,0,0
66,38,"SrNo1",12,149760,0,149760,"Closed",,0,100,0
67,39,"SrNo1",6,179400,0,179400,"Valid",,100,0,0
68,39,"SrNo2",6,179400,0,179400,"Valid",,100,0,0
69,40,"SrNo1",6,358800,0,358800,"Valid",,100,0,0
70,41,"SrNo1",7,168000,0,168000,"Closed",,100,0,0
71,42,"SrNo1",7,142800,0,142800,"Closed",,100,0,0
72,43,"SrNo1",7,328860,0,328860,"Closed",,100,0,0
73,44,"SrNo1",7,209300,0,209300,"Closed",,100,0,0
74,44,"SrNo2",7,190029,0,190029,"Closed",,28,21,51
75,45,"SrNo1",12,358800,0,358800,"Valid",,100,0,0
76,45,"SrNo2",12,358800,0,358800,"Valid",,100,0,0
77,46,"SrNo1",6,104322,0,104322,"Valid",,100,0,0
78,47,"SrNo1",6,41004,0,41004,"Closed",,100,0,0
79,47,"SrNo2",6,35550,0,35550,"Closed",,100,0,0
80,47,"SrNo3",6,35550,0,35550,"Closed",,100,0,0
81,48,"SrNo1",6,66240,0,66240,"Valid",,100,0,0
82,48,"SrNo2",6,290880,0,290880,"Valid",,100,0,0
83,49,"SrNo1",6,297780,0,297780,"Valid",,100,0,0
84,49,"SrNo2",6,297780,0,297780,"Valid",,100,0,0
85,50,"SrNo1",6,117558,0,117558,"Valid",,0,100,0
86,50,"SrNo2",6,76554,0,76554,"Valid",,0,100,0
87,50,"SrNo3",6,117558,0,117558,"Valid",,0,100,0
88,51,"SrNo1",6,358440,0,358440,"Closed",,0,100,0
89,51,"SrNo2",6,158220,0,158220,"Closed",,0,100,0
90,51,"SrNo3",6,36600,0,36600,"Closed",,0,100,0
91,51,"SrNo4",6,36600,0,36600,"Closed",,0,100,0
92,52,"SrNo1",6,317040,0,317040,"Valid",,0,100,0
93,52,"SrNo2",6,214020,0,214020,"Valid",,0,100,0
94,52,"SrNo3",6,375000,0,375000,"Valid",,0,100,0
95,52,"SrNo4",6,85020,0,85020,"Valid",,0,100,0
96,52,"SrNo5",6,225300,0,225300,"Valid",,0,100,0
97,52,"SrNo6",6,202020,0,202020,"Valid",,0,100,0
98,53,"SrNo1",6,272520,0,272520,"Valid",,0,100,0
99,53,"SrNo2",6,472644,0,472644,"Valid",,0,100,0
100,53,"SrNo3",6,420000,0,420000,"Valid",,0,100,0
101,53,"SrNo4",6,484044,0,484044,"Valid",,0,100,0
102,53,"SrNo5",6,224322,0,224322,"Valid",,0,100,0
103,54,"SrNo1",6,76554,0,76554,"Valid",,100,0,0
104,54,"SrNo2",6,83100,0,83100,"Valid",,100,0,0
105,54,"SrNo3",6,124104,0,124104,"Valid",,100,0,0
106,54,"SrNo4",6,117558,0,117558,"Valid",,100,0,0
107,54,"SrNo5",6,117558,0,117558,"Valid",,100,0,0
108,55,"SrNo1",2,116000,0,116000,"Closed",,28,21,51
109,56,"SrNo1",2,530000,0,530000,"Closed",,28,21,51
110,56,"SrNo2",2,380000,0,380000,"Closed",,28,21,51
111,57,"SrNo1",2,1000320,0,1000320,"Valid",,28,21,51
112,57,"SrNo2",2,458040,0,458040,"Valid",,28,21,51
113,58,"SrNo1",2,163400,0,163400,"Closed",,28,21,51
114,59,"SrNo1",2,149600,0,149600,"Closed",,28,21,51
115,60,"SrNo1",2,450800,0,450800,"Closed",,28,21,51
116,60,"SrNo2",2,122200,0,122200,"Closed",,28,21,51
117,61,"SrNo1",2,207200,0,207200,"Closed",,28,21,51
118,62,"SrNo1",12,73200,0,73200,"Valid",,100,0,0
119,63,"SrNo1",3,95700,0,95700,"Closed",,28,21,51
120,64,"SrNo1",3,316560,0,316560,"Closed",,28,21,51
121,108,"SrNo1",3,738375,0,738375,"Valid",,28,21,51
122,109,"SrNo1",6,1224000,0,1224000,"Valid",,100,0,0
123,109,"SrNo2",6,1101600,0,1101600,"Valid",,100,0,0
124,109,"SrNo3",6,734400,0,734400,"Valid",,100,0,0
125,109,"SrNo4",6,244800,0,244800,"Valid",,100,0,0
126,109,"SrNo5",6,244800,0,244800,"Valid",,100,0,0
127,110,"SrNo1",6,972000,0,972000,"Valid",,100,0,0
128,110,"SrNo2",6,216000,0,216000,"Valid",,100,0,0
129,111,"SrNo1",3,559491,0,559491,"Valid",,28,21,51
