"POID","PONum","PODate","POValue","Contractor","Budget","CPXComValue","CPXExpValue","OPXValue","REVValue","TaskNum","RenewStatus","RenewPONum","POStatus","PORemarks","POType"
1,"9876543-0",30/6/2015 0:00:00,0,"NORMAL PTE",,0,0,0,0,,"NO","Dummy","VALID",,
2,"9876543-1",30/6/2015 0:00:00,0,"APPROVED WO PO",,0,0,0,0,,"YES","Dummy","VALID","APPROVED WITHOUT PO",
3,"9876543-2",30/6/2015 0:00:00,0,"TAMDEED",,0,0,0,0,"MOBILIZED WO PO","YES","Dummy","VALID","MOBILIZED WITH OUT PO",
4,"9876543-3",30/6/2015 0:00:00,0,"STAR SERVICES",,0,0,0,0,"MOBILIZED WO PO","YES","Dummy","VALID",,
5,"9876543-4",30/6/2015 0:00:00,0,"FUTURE USE #2",,0,0,0,0,,"NO","Dummy","VALID",,
6,"9876543-5",30/6/2015 0:00:00,0,"FUTURE USE #3",,0,0,0,0,,"YES","Dummy","CLOSED",,
7,"9876543-6",30/6/2015 0:00:00,0,"FUTURE USE #4",,0,0,0,0,,"YES","Dummy","CLOSED",,
8,"9876543-7",30/6/2015 0:00:00,0,"FUTURE USE #5",,0,0,0,0,,"YES","Dummy","CLOSED",,
9,"9876543-8",30/6/2015 0:00:00,0,"FUTURE USE #6",,0,0,0,0,,"YES","Dummy","CLOSED",,
10,"9876543-9",30/6/2015 0:00:00,0,"FUTURE USE #7",,0,0,0,0,,"YES","Dummy","CLOSED",,
11,"1060767-0",19/8/2014 0:00:00,2908794,"STAR SERVICES","CAPEX",2908794,2908794,0,0,"HO-HO-13495-C-0108-14","YES","1066782-0","CLOSED",,
12,"1060779-1",20/8/2014 0:00:00,1864764,"STAR SERVICES","CAPEX",1864764,1864764,0,0,"HO-HO-13495-C-0108-14","YES","1066782-0","CLOSED",,
13,"1060813-0",20/8/2014 0:00:00,66240,"REACH","CAPEX",66240,66240,0,0,"HO-HO-13510-F-0018-14","YES","1065808-0","CLOSED",,
14,"1060950-0",25/8/2014 0:00:00,982536,"METRO","CAPEX",982536,982536,0,0,"HO-HO-13495-C-0108-14","YES","1066901-0","CLOSED",,
15,"1060997-0",26/8/2014 0:00:00,2482200,"REACH","CAPEX",2482200,2482200,0,0,"HO-HO-13495-C-0109-14","YES","1066282-0","CLOSED",,
16,"1061167-0",1/9/2014 0:00:00,1308216,"METRO","CAPEX",1308216,1308216,0,0,"HO-HO-13495-C-0654-14","YES","1068002-0","CLOSED",,
17,"1061205-0",2/9/2014 0:00:00,5853240,"REACH","CAPEX",5853240,5853240,0,0,"HO-HO-13495-C-0653-14","YES","1067996-0","CLOSED",,
18,"1061212-0",2/9/2014 0:00:00,8281236,"STAR SERVICES","CAPEX",8281236,8281236,0,0,"HO-HO-13495-C-0651-14","YES","1068011-0","CLOSED",,
19,"1061271-0",3/9/2014 0:00:00,1904875,"REACH","CAPEX",1904875,1904875,0,0,"HO-HO-13495-C-0652-14","YES","1066810-0","CLOSED","FTE2TBS",
20,"1061278-0",3/9/2014 0:00:00,2501695,"REACH","OPEX",0,0,2501695,0,"OEAR# 1061514
","YES","1067397-0","CLOSED","FTE2TBS",
21,"1061282-1",3/9/2014 0:00:00,6244063,"STAR SERVICES","CAPEX",6244063,6244063,0,0,"HO-HO-13495-C-0658-14","YES","1066782-0","CLOSED","FTE2TBS",
22,"1061302-0",4/9/2014 0:00:00,2333807,"TAMDEED","CAPEX",2333807,2333807,0,0,"HO-HO-13495-C-0658-14","YES","1066885-0","CLOSED","FTE2TBS",
23,"1061310-0",4/9/2014 0:00:00,6986526,"STAR SERVICES","CAPEX",6986526,6986526,0,0,"HO-HO-13495-C-0674-14","YES","1066782-0","CLOSED",,
24,"1061336-1",7/9/2014 0:00:00,12763380,"INTELTEC","CAPEX",12763380,12763380,0,0,"HO-HO-13495-C-0652-14, HO-HO-13488-H-0010-14, HO-HO-13528-A-0004-14","YES","1067378-0","CLOSED","FTE2TBS",
25,"1061337-0",7/9/2014 0:00:00,4215300,"INTELTEC","CAPEX",4215300,4215300,0,0,"HO-HO-13495-C-0655-14, HO-HO-13495-C-0683-14","YES","1067999-0","CLOSED",,
26,"1061400-0",8/9/2014 0:00:00,8389380,"REACH","CAPEX",8389380,8389380,0,0,"HO-HO-13495-C-0672-14","YES","1066810-0","CLOSED",,
27,"1061427-0",9/9/2014 0:00:00,1093920,"INTELTEC","OPEX",546960,546960,546960,0,"HO-HO-13548-H-0005-14, OEAR vide PR 1052633","YES","1065946-0","CLOSED",,
28,"1061530-0",14/9/2014 0:00:00,680670,"REACH","CAPEX",680670,680670,0,0,"HO-HO-13528-A-0006-14","YES","1067110-0","CLOSED",,
29,"1061545-0",14/9/2014 0:00:00,2109660,"REACH","CAPEX",2109660,1054830,0,0,"HO-HO-13509-S-0010-14","YES","1067451-0","CLOSED",,
30,"1061554-0",14/9/2014 0:00:00,562320,"STAR SERVICES","CAPEX",562320,374880,0,0,"HO-HO-13514-G-0031-14","YES","1067158-0","CLOSED",,
31,"1061564-0",15/9/2014 0:00:00,134784,"TAMDEED","CAPEX",134784,134784,0,0,"HO-HO-13495-C-0676-14","YES","1066885-0","CLOSED",,
32,"1061618-0",16/9/2014 0:00:00,2880000,"INTELTEC","CAPEX",2880000,2400000,0,0,"HO-HO-13535-F-0055-14","YES","1065972-0","CLOSED",,
33,"1061706-0",18/9/2014 0:00:00,1595100,"INTELTEC","CAPEX",1595100,1063400,0,0,"HO-HO-13535-F-0085-14","YES","1065972-0","CLOSED",,
34,"1061711-0",21/9/2014 0:00:00,5442300,"SGEM","CAPEX",5442300,5442300,0,0,"HO-HO-13495-C-0685-14","YES","1066822-0","CLOSED",,
35,"1061758-0",22/9/2014 0:00:00,909609,"STAR SERVICES","CAPEX",909609,909609,0,0,"HO-HO-13495-C-0108-14","YES","1064485-0","CLOSED",,
36,"1061947-0",29/9/2014 0:00:00,672000,"STAR SERVICES","CAPEX",672000,672000,0,0,"HO-HO-13532-H-0011-14","YES","1065815-0","CLOSED",,
37,"1061951-0",29/9/2014 0:00:00,748800,"REACH","CAPEX",748800,748800,0,0,"HO-HO-13532-H-0012-14","YES","1065808-0","CLOSED",,
38,"1062077-0",2/10/2014 0:00:00,149760,"REACH","OPEX",0,0,149760,0,"OEAR# 1059705","YES","1067147-0","CLOSED",,
39,"1062082-0",2/10/2014 0:00:00,358800,"STAR SERVICES","CAPEX",358800,239200,0,0,"HO-HO-13235-F-0164-14","YES","1065968-0","CLOSED",,
40,"1062208-0",9/10/2014 0:00:00,358800,"STAR SERVICES","CAPEX",358800,239200,0,0,"HO-HO-13495-C-0688-14","YES","1066269-0","CLOSED",,
41,"1062209-0",9/10/2014 0:00:00,168000,"STAR SERVICES","CAPEX",168000,168000,0,0,"HO-HO-13509-S-0013-14","YES","1067454-0","CLOSED","FTE2TBS",
42,"1062217-0",9/10/2014 0:00:00,142800,"INTELTEC","CAPEX",142800,142800,0,0,"HO-HO-13528-A-0007-14","YES","1067111-0","CLOSED","FTE2TBS",
43,"1062285-0",13/10/2014 0:00:00,328860,"INTELTEC","CAPEX",328860,328860,0,0,"HO-HO-13495-C-0687-14","YES","1066320-0","CLOSED","FTE2TBS",
44,"1062287-0",13/10/2014 0:00:00,399329,"STAR SERVICES","CAPEX",399329,399329,0,0,"HO-HO-13495-C-0687-14","YES","1066782-0","CLOSED","FTE2TBS",
45,"1062318-0",14/10/2014 0:00:00,717600,"STAR SERVICES","CAPEX",717600,239200,0,0,"HO-HO-13235-F-0165-14","YES","1065968-0","CLOSED",,
46,"1062414-0",19/10/2014 0:00:00,104322,"STAR SERVICES","CAPEX",104322,104322,0,0,"HO-HO-13489-B-0016-14","YES","1065815-0","CLOSED",,
47,"1063098-0",10/11/2014 0:00:00,112104,"STAR SERVICES","CAPEX",112104,112104,0,0,"HO-HO-13236-B-0006-14","YES","1065815-0","CLOSED",,
48,"1063101-0",10/11/2014 0:00:00,357120,"REACH","CAPEX",357120,357120,0,0,"HO-HO-13236-B-0006-14","YES","1065808-0","CLOSED",,
49,"1063102-1",10/11/2014 0:00:00,595560,"INTELTEC","CAPEX",595560,595560,0,0,"HO-HO-13236-B-0006-14","YES","1065787-0","CLOSED",,
50,"1063253-0",16/11/2014 0:00:00,311670,"STAR SERVICES","OPEX",0,0,311670,0,"OEAR# 1063654","YES","1067398-0","CLOSED",,
51,"1063260-0",16/11/2014 0:00:00,589860,"REACH","OPEX",0,0,589860,0,"OEAR# 1063652","YES","1067397-0","CLOSED",,
52,"1063310-0",17/11/2014 0:00:00,1418400,"REACH","OPEX",0,0,1418400,0,"OEAR# 1032799","YES","1067443-0","CLOSED",,
53,"1063320-0",17/11/2014 0:00:00,1873530,"STAR SERVICES","OPEX",0,0,1873530,0,"OEAR# 1063644","YES","1067463-0","CLOSED",,
54,"1063359-0",19/11/2014 0:00:00,518874,"STAR SERVICES","CAPEX",518874,345916,0,0,"HO-HO-13495-C-0866-14","YES","1066269-0","CLOSED",,
55,"1063838-0",10/12/2014 0:00:00,116000,"AL HADEER","CAPEX",116000,116000,0,0,"HO-HO-13495-C-1137-14","YES","1067995-0","CLOSED",,
56,"1063840-0",10/12/2014 0:00:00,910000,"XAD","CAPEX",910000,910000,0,0,"HO-HO-13495-C-1137-14","YES","1068022-0","CLOSED",,
57,"1063849-0",10/12/2014 0:00:00,1458360,"TAMDEED","CAPEX",1458360,1458360,0,0,"HO-HO-13495-C-1137-14","YES","1068050-0","CLOSED",,
58,"1063850-0",10/12/2014 0:00:00,163400,"SGEM","CAPEX",163400,163400,0,0,"HO-HO-13495-C-1137-14","YES","1067998-0","CLOSED",,
59,"1063851-0",10/12/2014 0:00:00,149600,"SHAHID","CAPEX",149600,149600,0,0,"HO-HO-13495-C-1137-14","YES","1068003-0","CLOSED",,
60,"1063852-0",10/12/2014 0:00:00,573000,"TELEPHONY","CAPEX",573000,573000,0,0,"HO-HO-13495-C-1137-14","YES","1068014-0","CLOSED",,
61,"1063854-0",10/12/2014 0:00:00,207200,"SKYLOG","CAPEX",207200,207200,0,0,"HO-HO-13495-C-1137-14","YES","1068006-0","CLOSED",,
62,"1063996-0",16/12/2014 0:00:00,73200,"REACH","CAPEX",73200,73200,0,0,"HO-HO-13514-G-0028-14","YES","1067147-0","CLOSED",,
63,"1064008-0",16/12/2014 0:00:00,95700,"SGEM","CAPEX",95700,95700,0,0,"HO-HO-13495-C-1138-14","YES","1066822-0","CLOSED",,
64,"1064012-0",16/12/2014 0:00:00,316560,"REACH","CAPEX",316560,316560,0,0,"HO-HO-13495-C-1138-14","YES","1066810-0","CLOSED",,
